founder	side	K_f	max_jacc_other	mean_jacc_to_cactus	mean_jacc_to_PG	nn_founder	nn_side	h_filt2	h_hf	err	accession_name
7333	PG	2149530	0.7397248416233825	0.6092168671898941	0.6269312118890066	9978	PG	0.00031544484711120324	0.004418	-0.004102555152888797	NA
7353	PG	2218194	0.6521972540897079	0.5970367068935787	0.6177395616604942	9941	PG	0.0005261985457767228	0.002649	-0.002122801454223277	NA
7384	PG	2253040	0.6584085335804268	0.5986829166656167	0.6188683547204328	5772	cactus	0.003525644535819647	0.00277	0.0007556445358196471	NA
7394	PG	2195437	0.6628768624833944	0.6028045302298757	0.6232658158479776	9748	PG	0.0017867018475045842	0.004522	-0.0027352981524954158	NA
7404	PG	2218556	0.7112494376376131	0.6005676876777011	0.6243852196756925	7287	PG	0.0011888308607035064	0.003143	-0.0019541691392964936	NA
7521	PG	2229465	0.6700839987862169	0.6014547500019992	0.626280839443621	6243	PG	0.0034172513796561273	0.003849	-0.00043174862034387265	NA
8240	PG	2201718	0.6671638011618003	0.6004654436889314	0.6235583771546777	6040	PG	0.0011531769175052973	0.003641	-0.002487823082494703	NA
8311	PG	2190354	0.6989800278937248	0.6068322868141117	0.6294823508701458	7025	cactus	0.0004641214933886251	0.003785	-0.003320878506611375	NA
8312	PG	2221654	0.7113938853392218	0.6032389384249277	0.6259443833421737	7031	PG	0.002560336942997619	0.004372	-0.001811663057002381	NA
8357	PG	2236980	0.7438023104534449	0.5897112677240595	0.6143329630477974	6961	PG	0.0038560768971480737	0.003112	0.0007440768971480735	NA
8376	PG	2238922	0.7567183893099105	0.587710432886281	0.6067703632357005	6177	PG	0.0026790773271478277	0.004588	-0.0019089226728521724	NA
9057	PG	2207307	0.6691492819349962	0.5982185060435912	0.6189506439378295	6195	PG	0.0015812607918486677	0.003745	-0.0021637392081513326	NA
9058	PG	2199350	0.6764992733658128	0.6003214863982866	0.6202851190227103	9394	PG	0.0009906082544360218	0.00305	-0.0020593917455639784	NA
9323	PG	2227423	0.7464825863038046	0.5908616300037598	0.6088227741355065	9427	PG	0.0070134480335041355	0.008321	-0.0013075519664958648	NA
9371	PG	2220988	0.8680057406908256	0.5897904316479108	0.6090957447887536	6216	PG	0.0008349065246449895	0.002363	-0.0015280934753550105	NA
9394	PG	2220115	0.7011951622529498	0.5936215677442479	0.6145780093218466	6074	PG	0.0013768565311844192	0.002517	-0.001140143468815581	NA
9427	PG	2237699	0.7908964947028047	0.5868641953300868	0.6031390432185101	6244	cactus	0.006794650529814413	0.006004	0.0007906505298144132	NA
9481	PG	2218178	0.6749215364316858	0.60101000580389	0.6210175563313095	6040	PG	0.009163114508272658	0.007513	0.0016501145082726586	NA
9507	PG	1912390	0.7729717687157576	0.6003692060660292	0.6307506038144023	9512	PG	4.703396164379016e-16	0.003373	-0.0033729999999995296	NA
9510	PG	2132836	0.8064455919608697	0.5880767016553592	0.6142707160937448	9512	PG	1.3794878652285191e-06	0.0028	-0.0027986205121347716	NA
9512	PG	2241752	0.825142885534372	0.5883265826079506	0.6171874670450115	9522	PG	0.0038733522346726195	0.003886	-1.2647765327380642e-05	NA
9517	PG	2182980	0.7008363732668108	0.59897305307513	0.6221867907254414	9596	PG	0.00045579840797086547	0.002651	-0.002195201592029135	NA
9521	PG	2209724	0.6723772731102045	0.5980471554883217	0.6227490026374483	8357	PG	0.004335518561579511	0.004242	9.351856157951109e-05	NA
9522	PG	2239817	0.8322478701313862	0.5853737507494392	0.6142223161861745	9560	PG	0.006263137682109534	0.003679	0.002584137682109534	NA
9523	PG	2216089	0.6834670768082671	0.5995992086208444	0.6252550560917309	9579	PG	0.007039173960344333	0.006018	0.001021173960344333	NA
9524	PG	2230725	0.6823423866482973	0.5802631426715941	0.5984838798412582	9594	cactus	0.0012254225294415634	0.002615	-0.0013895774705584367	NA
9526	PG	2204101	0.6841229277342039	0.5997103866458249	0.6246369860224168	8357	PG	0.0020402290730317644	0.003399	-0.0013587709269682357	NA
9527	PG	2160828	0.6624528229956921	0.6003700582420616	0.6235747016300619	9591	PG	0.001041867906394965	0.004869	-0.0038271320936050348	NA
9528	PG	2191038	0.6438892280011719	0.5725815932847917	0.5872392423781544	9574	PG	0.0013158437187036967	0.002444	-0.0011281562812963033	NA
9529	PG	2202305	0.65800744985696	0.601365528461454	0.6250916041354072	9941	PG	0.0020478275020802913	0.003472	-0.0014241724979197085	NA
9534	PG	2225950	0.6846718631147986	0.5869683303271711	0.6094495197847077	9857	PG	0.005560689866723745	0.003272	0.0022886898667237444	NA
9535	PG	2189455	0.6602118212966154	0.5901392342090926	0.6104432736324487	9562	PG	0.0019009404505714997	0.003727	-0.0018260595494285002	NA
9539	PG	2192486	0.6565540652337516	0.600505854681857	0.6249720233319828	9857	PG	0.006365125899259849	0.008529	-0.002163874100740151	NA
9544	PG	2247264	0.8165304934380184	0.5870622891648032	0.6152940287633452	9522	PG	0.006757128469702741	0.003675	0.0030821284697027415	NA
9547	PG	2219325	0.6866730909272585	0.589991527227591	0.6135171536024058	8357	PG	0.001971450193417179	0.002894	-0.0009225498065828209	NA
9548	PG	2225053	0.6744922487437424	0.5940191219092433	0.6174074013699596	9584	PG	0.006386448532391889	0.004022	0.0023644485323918883	NA
9560	PG	2248822	0.8322478701313862	0.5868356431824558	0.6153967040743117	9522	PG	0.003040831002075888	0.002767	0.00027383100207588806	NA
9562	PG	2213191	0.6602118212966154	0.5861390107408485	0.6062076578714767	9535	PG	0.0012092246158613123	0.00275	-0.0015407753841386875	NA
9574	PG	2179904	0.6438892280011719	0.5766805101964263	0.5928153910738242	9528	PG	0.001013940332700689	0.002131	-0.0011170596672993112	NA
9577	PG	2219398	0.6929789054517471	0.5794330076298202	0.5942166447294074	9594	cactus	0.0005417976770709144	0.002224	-0.0016822023229290854	NA
9579	PG	2223446	0.6834670768082671	0.5855608986534344	0.6074623368779625	9523	PG	0.0035512640590417907	0.003383	0.00016826405904179055	NA
