label	n	MAE	RMSE	R2	slope	intercept	sample	h_sum
SV_med_50-500bp	44941	0.018004149198532104	0.03279244154691696	0.9437778529601013	0.9530978539482138	-0.00013718932573856055	MLFH040220200212	0.9999890923500061
SV_big_500-5kb	41100	0.014094404876232147	0.02659427933394909	0.9219053760037633	0.937830768150852	-0.0005593017056969465	MLFH040220200212	0.9999890923500061
SV_huge_>=5kb	9819	0.013834265992045403	0.026426389813423157	0.8773303557382919	0.9138265061302406	-0.00031843541305115247	MLFH040220200212	0.9999890923500061
all_poly	2470585	0.01956186629831791	0.0324833057820797	0.9795656122578885	0.9820273824200653	-0.0007177787398332887	MLFH040320180306	0.9999939799308777
SNP	2361419	0.019882099702954292	0.03284108266234398	0.9796505496019622	0.9822077705764841	-0.0007093159531938664	MLFH040320180306	0.9999939799308777
INS	72047	0.011744959279894829	0.022152381017804146	0.9148663638401782	0.9238442239616322	0.00047051431736128287	MLFH040320180306	0.9999939799308777
DEL	37119	0.01436218898743391	0.025766363367438316	0.9709551988871252	0.9727419015181269	-0.00041266855704327705	MLFH040320180306	0.9999939799308777
SV_all	109166	0.012634879909455776	0.023443814367055893	0.9536720093336059	0.9577273917114106	-0.00029749085378860126	MLFH040320180306	0.9999939799308777
SV_med_50-500bp	50270	0.014300829730927944	0.026140863075852394	0.9597618087083425	0.9626776281692759	8.870296344751498e-06	MLFH040320180306	0.9999939799308777
SV_big_500-5kb	47513	0.011241304688155651	0.0209569800645113	0.9426185130444861	0.9474548770054504	-0.0003490638031213606	MLFH040320180306	0.9999939799308777
SV_huge_>=5kb	11383	0.011094476096332073	0.020491570234298706	0.9099933199365813	0.9295887834661002	-0.0004199641348584219	MLFH040320180306	0.9999939799308777
all_poly	2711212	0.01790228858590126	0.029086986556649208	0.9808179063608639	0.9854309191924989	-0.0015407400398089557	MLFH040320180321	1.0000020265579224
SNP	2587449	0.018228990957140923	0.02945842407643795	0.9808790424939592	0.985608498751033	-0.0015457103733502483	MLFH040320180321	1.0000020265579224
INS	82394	0.01028608437627554	0.018510833382606506	0.9178129021620728	0.9281894383245568	-0.00025074640976118125	MLFH040320180321	1.0000020265579224
DEL	41369	0.012638638727366924	0.02210414595901966	0.9737150874692849	0.9776328829311408	-0.0012981549247052715	MLFH040320180321	1.0000020265579224
SV_all	123763	0.011072449386119843	0.019784681499004364	0.9574569430970317	0.963097429699425	-0.001019766659643881	MLFH040320180321	1.0000020265579224
SV_med_50-500bp	54355	0.012724954634904861	0.022608811035752296	0.9630216791159851	0.9701784053789788	-0.0010513859153020242	MLFH040320180321	1.0000020265579224
SV_big_500-5kb	55179	0.009974454529583454	0.017590057104825974	0.946857910268803	0.9493405580733445	-0.0007950369728715204	MLFH040320180321	1.0000020265579224
SV_huge_>=5kb	14229	0.009017796255648136	0.0158796738833189	0.9163438367366734	0.9280584536341799	-0.0008540881467424623	MLFH040320180321	1.0000020265579224
all_poly	2262715	0.024235259741544724	0.03964920714497566	0.9715785206156488	0.9764607727189133	-0.0003601629482525693	MLFH040320190208	1.0
SNP	2171997	0.02458609826862812	0.04002178832888603	0.971670195573795	0.9765709806968734	-0.0002977928184208013	MLFH040320190208	1.0
INS	59132	0.014696119353175163	0.027804100885987282	0.899119060602886	0.9163936294168019	7.326998063967869e-05	MLFH040320190208	1.0
DEL	31586	0.017967810854315758	0.03204162418842316	0.9621985505834746	0.9688186799366764	-0.0008420633240748404	MLFH040320190208	1.0
SV_all	90718	0.015835249796509743	0.02934902161359787	0.941954480233615	0.952187500476146	-0.0008302839730527013	MLFH040320190208	1.0
SV_med_50-500bp	42881	0.017981501296162605	0.03240784630179405	0.9484694036466302	0.9553019983353578	-0.00038849181954775104	MLFH040320190208	1.0
SV_big_500-5kb	38712	0.01393175683915615	0.026269545778632164	0.9308972515148386	0.9470641829386117	-0.0011142987831004789	MLFH040320190208	1.0
SV_huge_>=5kb	9125	0.013824798166751862	0.026462756097316742	0.8928215822739387	0.9220159859278798	-0.0007037271098892146	MLFH040320190208	1.0
all_poly	2459679	0.02304976060986519	0.038209524005651474	0.9714481568706576	0.982592430321062	-0.000936562343489257	MLFH040320190221	1.0000079870224
