,gene,SNPs,hits,Z,top_candidate_p
421,1_1903,3,1,2.129374246326795,0.029701000000000026
422,1_1904,2,0,0.5363238414449661,1.0
423,1_191,12,0,2.916592076546445,1.0
424,1_1911,5,0,0.4937170425458966,1.0
425,1_1914,1,0,-0.08111864246721184,1.0
426,1_1915,1,0,1.3907485160398951,1.0
427,1_1919,1,0,1.0075733253075025,1.0
430,1_1924,19,3,5.3502779114797505,0.0008594328820314674
431,1_1925,2,1,2.770843736568507,0.01990000000000002
432,1_1926,5,1,3.0776494887399655,0.049009950100000046
436,1_1935,3,0,-1.562132331304514,1.0
439,1_1947,1,0,-2.004535575473546,1.0
440,1_1951,4,1,1.6760117770078675,0.039403990000000035
441,1_1952,4,0,-1.2538242464497416,1.0
442,1_1953,1,0,0.3162405123034346,1.0
443,1_1954,1,1,2.6020203974021987,0.010000000000000009
444,1_1956,15,0,1.4153558478900994,1.0
445,1_1958,1,1,3.5461073660545352,0.010000000000000009
447,1_1964,1,0,-0.5587042182797582,1.0
450,1_197,10,0,1.1486114553068234,1.0
452,1_1978,1,1,2.671041524060437,0.010000000000000009
453,1_1980,16,2,-0.95363837379366,0.010932892162518214
